Designator,Mid X,Mid Y,Layer,Rotation
C1,124.7065,-48.9255,top,90
C2,126.5065,-48.9705,top,90
C3,120.6495,-50.2675,top,-90
C4,120.509,-89.228,top,0
C5,125.095,-94.094,top,90
C6,122.428,-57.912,top,90
C7,122.428,-59.944,top,-90
C8,163.322,-70.33,top,-90
C9,105.4095,-51.7915,top,90
C10,146.174,-125.095,top,0
C11,144.272,-118.237,top,180
C12,158.358,-125.349,top,0
C13,155.984,-117.729,top,180
C14,170.736,-125.355,top,0
C15,167.416,-118.28,top,180
C16,119.11,-71.752,top,-90
C17,123.264,-71.695,top,90
C18,133.088,-70.304,top,-90
C19,134.838,-70.304,top,-90
C20,136.588,-70.279,top,-90
C21,136.088,-73.279,top,90
C22,139.338,-72.779,top,0
C23,117.7725,-106.823,top,90
C24,115.5225,-106.823,top,90
C25,123.535,-84.874,top,90
C26,124.785,-84.874,top,90
D1,146.39,-71.5115,top,-90
D2,106.0975,-63.4875,top,0
D4,150.153,-117.602,top,180
D5,162.052,-117.475,top,180
D6,127.255,-89.408,top,180
D7,168.656,-114.681,top,0
D8,116.338,-75.529,top,90
D9,118.338,-75.529,top,-90
D10,120.588,-75.529,top,90
D11,122.588,-75.5665,top,-90
D12,133.588,-77.279,top,-90
D13,123.2315,-54.068,top,90
D14,132.984,-85.2115,top,-90
D15,136.8805,-92.964,top,180
D16,139.534,-84.224,top,0
J1,98.725,-64.335,top,-90
J15,168.402,-54.0275,top,-90
L1,132.588,-73.279,top,-90
R1,148.59,-71.499,top,-90
R2,122.9355,-50.2675,top,90
R3,107.4415,-51.7915,top,-90
R4,133.482,-121.155,top,180
R5,136.282,-121.155,top,180
R6,120.888,-71.724,top,90
R7,137.588,-73.279,top,-90
R8,131.088,-77.029,top,0
R9,131.088,-78.279,top,0
R10,165.093,-103.68,top,90
R11,154.162,-49.7675,top,-90
R12,155.662,-49.7675,top,-90
R13,157.062,-49.7675,top,-90
R14,158.562,-49.7675,top,-90
R15,125.9815,-54.1155,top,-90
R16,139.834,-82.724,top,180
R17,132.969,-90.93,top,90
R18,136.374,-84.774,top,0
R19,118.312,-83.024,top,180
R20,118.362,-84.174,top,180
R21,118.455,-86.124,top,180
R22,123.99,-82.725,top,180
U1,120.509,-94.562,top,-90
U5,128.143,-73.2028,top,0
U6,128.5205,-110.617,top,0
U8,121.285,-84.074,top,90
X1,138.9375,-52.8075,top,0
Y1,114.808,-58.928,top,180
